epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,val_prec_macro,val_recall_macro,val_kappa
1,0.5727166680628457,0.3259737546291067,0.7935039380260585,0.8835063368958669,0.8823211387048957,0.8854995419896797,0.8835064981769584,0.8543829250512895
2,0.33147756026501596,0.2454691409934646,0.8887067062821472,0.913241570509789,0.9128916585607343,0.9155835782671791,0.9132417269254269,0.8915519679238261
3,0.2734763220313379,0.1961747057985839,0.9089462168866281,0.9305749314291119,0.9303053294759958,0.9318686990284484,0.9305750023825953,0.9132186643472279
4,0.2425454418521713,0.19569755851975215,0.9196744653794345,0.933051759197957,0.9326380712325235,0.9343015031261247,0.9330519075113951,0.9163147029675107
5,0.22207573281982831,0.17771523868840716,0.9267739220581922,0.9397418542513951,0.9395516439846519,0.9395318706124247,0.9397419226192003,0.9246773183761803
6,0.20689979061538244,0.1671614036336574,0.9317955610661894,0.9421300127683723,0.9421910122565306,0.9435045911416147,0.9421300346879329,0.9276625143821879
7,0.19525602567609046,0.143426069696714,0.9358787831318446,0.9499255178284309,0.949744696290406,0.95045619652984,0.9499255877950219,0.9374068979589252
8,0.18646931438946845,0.1335982282118286,0.9387679250566929,0.9547639033386929,0.9547277083938456,0.9550108840281666,0.9547639368289931,0.9434548787244419
9,0.17822769744954858,0.13345694955358514,0.9413851477415556,0.9550698122576374,0.9549623879499025,0.9553655640576713,0.9550698764193533,0.9438372658506671
10,0.1715093435420825,0.13143160638451584,0.9437577908926267,0.953714650524922,0.9534880135882478,0.9546217584811254,0.9537147430801707,0.9421433142860627
